npbbID,playerID,yearID,stint,lgID,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,GIDP,PA,TB,AVG,SLG,OBP,OPS,BB_pct,K_pct
1,100001,1936.1S,1,JBL,KYOJIN,5,12,0,3,1,0,0,1,0,,0,1,,,4,0.25,0.333,,,,
2,100001,1936.2F,1,JBL,KYOJIN,19,35,4,7,1,0,0,7,1,,3,3,,,8,0.2,0.229,,,,
3,100001,1937.1S,1,JBL,KYOJIN,21,24,4,4,0,1,0,3,0,,3,4,,,6,0.167,0.25,,,,
4,100001,1937.2F,1,JBL,KYOJIN,20,54,4,13,1,1,1,8,2,,4,4,,,19,0.241,0.352,,,,
5,100001,1938.1S,1,JBL,KYOJIN,2,0,0,0,0,0,0,0,0,,0,0,,,0,,,,,,
6,100001,1938.2F,1,JBL,KYOJIN,6,2,3,1,0,0,0,0,0,,0,1,,,1,0.5,0.5,,,,
7,100001,1939,1,JBL,KYOJIN,9,3,2,0,0,0,0,0,1,,1,0,,4.0,0,0.0,0.0,0.25,0.25,0.25,0.0
8,100001,1940,1,JBL,KYOJIN,7,3,0,0,0,0,0,0,1,,2,1,,5.0,0,0.0,0.0,0.4,0.4,0.4,0.2
9,100001,1941,1,JBL,KYOJIN,2,1,1,0,0,0,0,0,0,,1,0,,,0,0.0,0.0,,,,
10,100001,1942,1,JBL,KYOJIN,1,0,0,0,0,0,0,0,0,0.0,0,0,,,0,,,,,,
11,100002,1936.1S,1,JBL,KYOJIN,5,20,5,4,1,0,0,2,1,,1,0,,,5,0.2,0.25,,,,
12,100002,1936.2F,1,JBL,KYOJIN,17,37,4,4,2,0,0,1,0,,4,6,,,6,0.108,0.162,,,,
13,100002,1937.1S,1,JBL,KYOJIN,49,166,15,39,6,3,0,21,3,,8,9,,,51,0.235,0.307,,,,
14,100002,1937.2F,1,JBL,KYOJIN,47,177,29,38,4,5,3,25,3,,23,16,,,61,0.215,0.345,,,,
15,100002,1938.1S,1,JBL,KYOJIN,35,116,16,21,0,1,1,18,2,,13,13,,,26,0.181,0.224,,,,
16,100002,1938.2F,1,JBL,KYOJIN,8,11,0,2,0,0,0,1,0,,0,2,,,2,0.182,0.182,,,,
17,100002,1939,1,JBL,KYOJIN,47,84,7,21,2,2,0,11,2,,10,12,,97.0,27,0.25,0.321,0.323,0.644,0.103,0.124
18,100002,1940,1,JBL,KYOJIN,33,29,4,7,1,0,1,6,0,,4,3,,34.0,11,0.241,0.379,0.324,0.703,0.118,0.088
19,100002,1941,1,JBL,KYOJIN,18,11,1,1,0,0,0,0,0,,0,2,,,1,0.091,0.091,,,,
20,100002,1942,1,JBL,KYOJIN,37,67,4,10,0,0,0,3,1,0.0,2,9,,,10,0.149,0.149,,,,
21,100002,1943,1,JBL,KYOJIN,43,71,1,11,2,1,0,8,0,1.0,3,1,,,15,0.155,0.211,,,,
22,100003,1936.1S,1,JBL,SENATORS,14,29,9,5,2,0,0,5,3,,11,4,,,7,0.172,0.241,,,,
23,100003,1936.2F,1,JBL,SENATORS,25,71,10,12,2,1,1,8,7,,31,17,,,19,0.169,0.268,,,,
24,100003,1937.1S,1,JBL,SENATORS,43,130,13,26,6,0,0,6,3,,21,26,,,32,0.2,0.246,,,,
25,100003,1937.2F,1,JBL,SENATORS,26,87,9,18,3,1,0,6,4,,18,21,,,23,0.207,0.264,,,,
26,100003,1938.1S,1,JBL,EAGLES,21,46,3,5,3,0,0,3,1,,6,10,,,8,0.109,0.174,,,,
