npbfID,playerID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,FP,RF
1,100001,1936.1S,1,JBL,Kyojin,2B,2,,,,,,,
2,100001,1936.1S,1,JBL,Kyojin,OF,2,,,,,,,
3,100001,1936.2F,1,JBL,Kyojin,OF,14,13.0,2.0,1.0,1.0,,0.938,1.071
4,100001,1937.1S,1,JBL,Kyojin,OF,14,4.0,0.0,0.0,0.0,,1.0,0.286
5,100001,1937.2F,1,JBL,Kyojin,OF,18,27.0,1.0,0.0,0.0,,1.0,1.556
6,100001,1939,1,JBL,Kyojin,OF,2,1.0,0.0,0.0,0.0,,1.0,0.5
7,100001,1940,1,JBL,Kyojin,OF,3,4.0,0.0,0.0,0.0,,1.0,1.333
8,100001,1941,1,JBL,Kyojin,OF,1,1.0,0.0,0.0,0.0,,1.0,1.0
9,100002,1941,1,JBL,Kyojin,1B,15,29.0,0.0,1.0,6.0,,0.967,1.933
10,100002,1942,1,JBL,Kyojin,1B,30,193.0,4.0,1.0,10.0,,0.995,6.567
11,100002,1943,1,JBL,Kyojin,1B,43,225.0,8.0,1.0,22.0,,0.996,5.419
12,100002,1942,1,JBL,Kyojin,C,3,6.0,0.0,0.0,0.0,0.0,1.0,2.0
13,100002,1940,1,JBL,Kyojin,2B,3,2.0,2.0,0.0,0.0,,1.0,1.333
14,100002,1940,1,JBL,Kyojin,1B,22,67.0,2.0,1.0,6.0,,0.986,3.136
15,100002,1938.2F,1,JBL,Kyojin,1B,8,31.0,2.0,1.0,1.0,,0.971,4.125
16,100002,1939,1,JBL,Kyojin,C,4,20.0,0.0,0.0,0.0,3.0,1.0,5.0
17,100002,1938.1S,1,JBL,Kyojin,1B,35,337.0,11.0,1.0,22.0,,0.997,9.943
18,100002,1937.2F,1,JBL,Kyojin,1B,47,446.0,15.0,4.0,29.0,,0.991,9.809
19,100002,1937.1S,1,JBL,Kyojin,1B,48,402.0,19.0,2.0,29.0,,0.995,8.771
20,100002,1936.2F,1,JBL,Kyojin,1B,14,105.0,6.0,1.0,3.0,,0.991,7.929
21,100002,1936.1S,1,JBL,Kyojin,1B,5,,,,,,,
22,100002,1939,1,JBL,Kyojin,1B,40,206.0,6.0,5.0,20.0,,0.977,5.3
23,100003,1938.1S,1,JBL,Eagles,1B,9,58.0,3.0,3.0,5.0,,0.953,6.778
24,100003,1938.2F,1,JBL,Eagles,OF,4,2.0,1.0,1.0,0.0,,0.75,0.75
25,100003,1938.2F,1,JBL,Eagles,1B,17,166.0,1.0,3.0,16.0,,0.982,9.824
26,100003,1938.1S,1,JBL,Eagles,OF,9,4.0,0.0,0.0,0.0,,1.0,0.444
27,100003,1937.2F,1,JBL,Senators,OF,25,38.0,7.0,3.0,2.0,,0.938,1.8
28,100003,1936.1S,1,JBL,Senators,OF,10,,,,,,,
29,100003,1937.1S,1,JBL,Senators,OF,41,47.0,2.0,1.0,1.0,,0.98,1.195
30,100003,1937.1S,1,JBL,Senators,1B,2,2.0,0.0,0.0,0.0,,1.0,1.0
31,100003,1936.2F,1,JBL,Senators,OF,24,46.0,3.0,1.0,1.0,,0.98,2.042
32,100003,1936.2F,1,JBL,Senators,1B,2,14.0,0.0,0.0,3.0,,1.0,7.0
33,100003,1936.1S,1,JBL,Senators,1B,5,,,,,,,
34,100003,1937.2F,1,JBL,Senators,1B,2,3.0,0.0,1.0,1.0,,0.75,1.5
35,100004,1938.1S,1,JBL,Nagoya,OF,1,0.0,0.0,0.0,0.0,,,0.0
36,100004,1938.1S,1,JBL,Nagoya,1B,1,7.0,0.0,0.0,0.0,,1.0,7.0
37,100004,1938.1S,1,JBL,Nagoya,P,3,2.0,2.0,1.0,0.0,,0.8,1.333
38,100004,1937.2F,1,JBL,Nagoya,P,13,2.0,9.0,1.0,0.0,,0.917,0.846
39,100004,1937.1S,1,JBL,Nagoya,P,24,4.0,44.0,2.0,2.0,,0.96,2.0
40,100004,1936.1S,1,JBL,Kinko,P,2,,,,,,,
41,100004,1938.1S,1,JBL,Nagoya,C,2,7.0,1.0,1.0,1.0,1.0,0.889,4.0
42,100005,1938.2F,1,JBL,Hankyu,OF,25,49.0,4.0,0.0,1.0,,1.0,2.12
43,100005,1941,1,JBL,Hanshin,OF,27,64.0,3.0,0.0,1.0,,1.0,2.481
44,100005,1940,1,JBL,Hanshin,OF,98,214.0,6.0,5.0,2.0,,0.978,2.245
45,100005,1939,1,JBL,Osaka,OF,96,245.0,5.0,2.0,3.0,,0.992,2.604
46,100005,1938.1S,1,JBL,Hankyu,OF,31,100.0,4.0,0.0,3.0,,1.0,3.355
47,100005,1937.2F,1,JBL,Hankyu,OF,41,86.0,6.0,1.0,1.0,,0.989,2.244
48,100005,1937.2F,1,JBL,Hankyu,2B,3,2.0,3.0,1.0,2.0,,0.833,1.667
49,100005,1937.1S,1,JBL,Hankyu,OF,22,48.0,2.0,0.0,0.0,,1.0,2.273
50,100005,1937.1S,1,JBL,Hankyu,2B,1,2.0,2.0,0.0,0.0,,1.0,4.0
51,100005,1936.2F,1,JBL,Hankyu,OF,29,70.0,1.0,2.0,0.0,,0.973,2.448
52,100005,1936.1S,1,JBL,Hankyu,OF,6,,,,,,,
53,100005,1936.1S,1,JBL,Hankyu,3B,2,,,,,,,
54,100006,1942,1,JBL,Nagoya,1B,21,233.0,4.0,1.0,28.0,,0.996,11.286
55,100006,1939,1,JBL,Hankyu,1B,42,360.0,13.0,4.0,22.0,,0.989,8.881
56,100006,1938.2F,1,JBL,Hankyu,1B,19,152.0,4.0,3.0,15.0,,0.981,8.211
57,100006,1938.1S,1,JBL,Hankyu,1B,19,149.0,3.0,3.0,10.0,,0.981,8.0
58,100006,1937.2F,1,JBL,Hankyu,OF,18,25.0,1.0,2.0,1.0,,0.929,1.444
59,100006,1940,1,JBL,Hankyu,1B,20,208.0,5.0,0.0,16.0,,1.0,10.65
60,100006,1937.1S,1,JBL,Hankyu,OF,2,14.0,1.0,0.0,1.0,,1.0,7.5
61,100006,1937.1S,1,JBL,Hankyu,1B,23,202.0,3.0,4.0,15.0,,0.981,8.913
