playerID,birthYear,birthMonth,birthDay,birthPlace,nameLast,nameFirst,nameGiven,weight,height,bats,throws,position
100001,1902,3,8,Japan,Yamamoto,Eiichiro,Eiichiro Yamamoto,128,62,R,R,Right fielder
100002,1904,9,13,Japan,Nagasawa,Fujio,Fujio Nagasawa,165,68,R,R,First baseman
100003,1906,3,10,Japan,Onuki,Ken,Ken Onuki,123,66,R,R,Left fielder
100004,1907,1,1,China,Kinoshita,Hiroki,Hiroki Kinoshita,150,69,R,R,Pitcher
100005,1907,3,15,United States,Horio,Fumihito,Fumihito Horio,157,70,S,R,Center fielder
100006,1907,3,20,Japan,Yamashita,Minoru,Minoru Yamashita,172,68,L,L,First baseman
100007,1907,5,14,Japan,Ito,Katsuzo,Katsuzo Ito,117,64,R,R,First baseman
100008,1907,7,23,Japan,Miyatake,Saburo,Saburo Miyatake,165,67,R,R,First baseman
100009,1907,10,28,Japan,Kuroda,Kengo,Kengo Kuroda,132,66,R,R,Third baseman
100010,1908,2,19,United States,Takahashi,Yoshio,Yoshio Takahashi,157,67,R,R,Second baseman
100011,1908,3,1,United States,Wakabayashi,Tadashi,Tadashi Wakabayashi,172,69,R,R,Pitcher
100012,1908,3,8,Japan,Masu,Kaichi,Kaichi Masu,132,67,R,R,Center fielder
100013,1908,6,21,Japan,Shima,Hidenosuke,Hidenosuke Shima,132,64,R,R,Center fielder
100014,1908,9,6,Japan,Tsuda,Shiro,Shiro Tsuda,137,64,R,R,Third baseman
100015,1908,9,25,United States,Harris,Bucky,Bucky Harris,0,0,R,R,Catcher
100016,1909,1,22,Japan,Matsuki,Kenjiro,Kenjiro Matsuki,172,68,L,L,First baseman
100017,1909,6,28,Japan,Nakajima,Haruyasu,Haruyasu Nakajima,161,69,R,R,Right fielder
100018,1910,1,12,United States,North,Herbert,Herbert North,0,71,R,R,Pitcher
100019,1910,1,19,Japan,Karita,Hisanori,Hisanori Karita,146,67,R,R,Second baseman
100020,1910,1,20,Japan,Nakamura,Teruo,Teruo Nakamura,141,67,L,R,Catcher
100021,1910,2,11,United States,Matsuura,Kazuyoshi,Kazuyoshi Matsuura,0,0,R,R,Pitcher
100022,1910,5,14,Japan,Kimata,Takeo,Takeo Kimata,128,64,R,R,Left fielder
100023,1910,6,10,Japan,Aoki,Kozo,Kozo Aoki,141,67,R,R,Left fielder
100024,1910,9,1,Japan,Mizutani,Norikazu,Norikazu Mizutani,150,64,R,R,Right fielder
100025,1910,9,21,Japan,Nakane,Susumu,Susumu Nakane,132,67,L,R,Right fielder
100026,1910,10,14,Japan,Kura,Nobuo,Nobuo Kura,123,67,R,R,Catcher
100027,1911,1,1,Japan,Ogawa,Toshiyasu,Toshiyasu Ogawa,161,66,R,R,Catcher
100028,1911,4,25,Japan,Kawamura,Tokuhisa,Tokuhisa Kawamura,141,65,R,R,Third baseman
