mlb_playerID,kbo_playerID,npb_playerID,birthYear,birthMonth,birthDay,nameFirst,nameLast,mlb_birthCountry,mlb_weight,mlb_height,mlb_bats,mlb_throws,mlb_nameFirst,mlb_nameLast,npb_birthCountry,npb_weight,npb_height,npb_bats,npb_throws,npb_nameFirst,npb_nameLast,kbo_birthCountry,kbo_weight,kbo_height,kbo_bats,kbo_throws,kbo_nameFirst,kbo_nameLast
abadan01,,104799,1972,8,25,Andy,Abad,USA,184,73,L,L,Andy,Abad,United States,183,73,L,L,Andy,Abad,,,,,,,
abbotky01,,104266,1968,2,18,Kyle,Abbott,USA,200,76,L,L,Kyle,Abbott,United States,201,76,L,L,Kyle,Abbott,,,,,,,
abreuwi01,,105557,1977,4,5,Winston,Abreu,D.R.,170,74,R,R,Winston,Abreu,Dominican Republic,170,74,R,R,Winston,Abreu,,,,,,,
acostma01,,106056,1981,5,1,Manny,Acosta,Panama,215,76,R,R,Manny,Acosta,Panama,216,76,R,R,Manny,Acosta,,,,,,,
acrema01,,104597,1968,9,16,Mark,Acre,USA,235,80,R,R,Mark,Acre,United States,236,80,R,R,Mark,Acre,,,,,,,
adairje01,,102621,1936,12,17,Jerry,Adair,USA,175,72,R,R,Jerry,Adair,United States,174,72,R,R,Jerry,Adair,,,,,,,
adducji01,,103697,1959,8,9,Jim,Adduci,USA,200,77,L,L,Jim,Adduci,United States,201,77,L,L,Jim,Adduci,,,,,,,
adducji02,65523,,1985,5,15,Jim,Adduci,CAN,210,74,L,L,Jim,Adduci,,,,,,,,United States,209,74,L,L,Jim,Adduci
adkinjo01,79596,,1977,8,30,Jon,Adkins,USA,200,72,L,R,Jon,Adkins,,,,,,,,United States,209,71,R,R,Jon,Adkins
adlemti01,68435,,1987,11,13,Tim,Adleman,USA,225,77,R,R,Tim,Adleman,,,,,,,,United States,225,77,R,R,Tim,Adleman
agbaybe01,,105179,1971,12,28,Benny,Agbayani,USA,225,72,R,R,Benny,Agbayani,United States,220,72,R,R,Benny,Agbayani,,,,,,,
aguilch01,,105660,1979,2,23,Chris,Aguila,USA,200,71,R,R,Chris,Aguila,United States,198,71,R,R,Chris,Aguila,,,,,,,
akiyash01,,105851,1988,4,16,Shogo,Akiyama,Japan,182,72,L,R,Shogo,Akiyama,Japan,192,72,L,R,Shogo,Akiyama,,,,,,,
albaljo01,,105865,1982,10,30,Jonathan,Albaladejo,P.R.,270,77,R,R,Jonathan,Albaladejo,Puerto Rico,260,77,R,R,Jonathan,Albaladejo,,,,,,,
alberan01,64737,106640,1985,10,6,Andrew,Albers,CAN,200,73,R,L,Andrew,Albers,Canada,201,73,R,L,Andrew,Albers,Canada,194,73,R,L,Andrew,Albers
alcanar01,,107056,1991,10,29,Arismendy,Alcantara,D.R.,170,70,B,R,Arismendy,Alcantara,Dominican Republic,170,70,B,R,Arismendy,Alcantara,,,,,,,
alcanra01,69045,107013,1992,12,4,Raul,Alcantara,D.R.,220,76,R,R,Raul,Alcantara,Dominican Republic,240,76,R,R,Raul,Alcantara,D.R,220,76,R,R,Raul,Alcantara
aldrico01,61332,,1979,6,13,Cory,Aldridge,USA,210,72,L,R,Cory,Aldridge,,,,,,,,United States,225,73,L,L,Cory,Aldridge
alexabo01,,101685,1922,8,7,Bob,Alexander,CAN,205,74,R,R,Bob,Alexander,Canada,205,74,R,R,Bob,Alexander,,,,,,,
alfoned01,,105650,1973,11,8,Edgardo,Alfonzo,Venezuela,210,71,R,R,Edgardo,Alfonzo,Venezuela,209,74,R,R,Edgardo,Alfonzo,,,,,,,
